Source Term ID	Source Term	TEXT2TERM_MAPPING	TEXT2TERM_MAPPING_LABEL	MAPPING	MAPPING_LABEL	CATEGORY	IS_DISEASE	IS_MEASUREMENT	IS_PHENOTYPE	IS_AMOUNT	IS_PROCESS			Total	
BezYZzZ7mp	Alzheimer s disease	MONDO:0004975	Alzheimer disease	EFO:0000249	Alzheimer's disease	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE		Same	660	73%
57w93mDnYq	Endocarditis valve unspecified	EFO:0000465	endocarditis	EFO:0000465	endocarditis	Same	TRUE	FALSE	FALSE	FALSE	FALSE		More General	20	2%
HMNz6zyUMi	Family history of other conditions	EFO:0000493	family history	EFO:0000493	family history	Same	FALSE	FALSE	FALSE	FALSE	FALSE		More Specific	34	4%
JAVjznQfuo	Unspecified maternal hypertension	EFO:0000537	hypertension	EFO:0000668	preeclampsia	More General	TRUE	FALSE	FALSE	FALSE	FALSE		Sibling	13	1%
D4dLRfYexq	Stroke not specified as haemorrhage or infarction	EFO:0020921	hemorrhagic stroke	EFO:0000712	stroke	More Specific	TRUE	FALSE	FALSE	FALSE	FALSE		Unrelated	172	19%
BiK8z4E46E	Subarachnoid haemorrhage	EFO:0000713	subarachnoid hemorrhage	EFO:0000713	subarachnoid hemorrhage	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
5n29tGwBtu	Unspecified human immunodeficiency virus	EFO:0000764	HIV infection	EFO:0000764	HIV infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE		Total	899	
J96iUUTidJ	Other endocrine disorders	EFO:0001379	endocrine system disease	EFO:0001379	endocrine system disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
G4BhZoUazd	Other diseases of liver	EFO:0001421	liver disease	EFO:0001421	liver disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
EABshWjhrd	Primary disorders of muscles	EFO:0002970	muscular disease	EFO:0002970	muscular disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
JjNH6rW3mx	Pervasive developmental disorders	EFO:0003756	autism spectrum disorder	EFO:0003759	pervasive developmental disorder - not otherwise specified	More General	TRUE	FALSE	FALSE	FALSE	FALSE				
CSbssopN39	Other cerebrovascular diseases	EFO:0003763	cerebrovascular disorder	EFO:0003763	cerebrovascular disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
FgSFeEFkMm	Other diseases of gallbladder	EFO:0003832	gallbladder disease	EFO:0003832	gallbladder disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
k5pQcW7yip	Pain	EFO:0003843	pain	EFO:0003843	pain	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
5c8y549kJX	Fracture of spine level unspecified	EFO:0003902	spinal fracture	EFO:0003902	spinal fracture'	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
DVujiAThRi	Acute hepatitis B	HP:0200119	Acute hepatitis	EFO:0004197	hepatitis B infection	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE				
4ntyoeJpJV	Abnormalities of heart beat	HP:0001627	Abnormal heart morphology	EFO:0004269	cardiac arrythmia	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE				
DkVugEb4qr	Scoliosis	EFO:0004273	scoliosis	EFO:0004273	scoliosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
Fzk7g5UAmz	Other congenital malformations of heart	EFO:0005269	congenital heart malformation	EFO:0005269	congenital heart malformation	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
7Vr5BZRcwc	Disorders of tooth development and eruption	MONDO:0002145	disorder of sexual differentiation	EFO:0005410	tooth agenesis	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE				
5BfZZBrMYM	Intracerebral haemorrhage	EFO:0005669	intracerebral hemorrhage	EFO:0005669	intracerebral hemorrhage	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
Avroz8yAgm	Retinal detachments and breaks	EFO:0005773	retinal detachment	EFO:0005773	retinal detachment	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3MAuMqKUbi	Tuberculosis of nervous system	EFO:0007199	central nervous system tuberculosis	EFO:0007199	central nervous system tuberculosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
ZncsAES6Pg	Acute hepatitis A	HP:0200119	Acute hepatitis	EFO:0007305	hepatitis A	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE				
Cib95vAecr	Hookworm diseases	EFO:0007314	hookworm infectious disease	EFO:0007314	hookworm infectious disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
BoVVGDL9aM	Female infertility	EFO:0008560	female infertility	EFO:0008560	female infertility	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
BULMfjvBpg	Sleep disorders	EFO:0008568	Sleep Disorder	EFO:0008568	sleep disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
FmqbWSVPBv	Thiamine deficiency	EFO:0008569	Thiamine deficiency	EFO:0008569	Thiamine deficiency	Same	FALSE	FALSE	TRUE	FALSE	FALSE				
Ep4wkJ723H	Viral conjunctivitis	EFO:0008571	viral conjunctivitis	EFO:0008571	viral conjunctivitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
J8j6JoEohC	Alcoholic liver disease	EFO:0008573	alcoholic liver disease	EFO:0008573	alcoholic liver disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
BeaMfVPQsK	Spinal osteochondrosis	EFO:0008576	Spinal Osteochondrosis	EFO:0008576	Spinal Osteochondrosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
axnhtSpaEZ	Diseases of salivary glands	EFO:0008581	salivary gland disease	EFO:0008581	salivary gland disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
8cT7NKwzbC	Gender identity disorders	EFO:0008587	gender identity disorder	EFO:0008587	gender identity disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
4DJ88k9wrU	Status asthmaticus	EFO:0008590	Status Asthmaticus	EFO:0008590	status asthmaticus	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
E3sVP7T88q	Cystic kidney disease	EFO:0008615	Cystic Kidney Disease	EFO:0008615	cystic kidney disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
AMvQFpiRht	Polyp of female genital tract	EFO:0008622	female genital tract polyp	EFO:0008622	female genital tract polyp	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
3Wk7gaMBbE	Persistent mood	EFO:0008623	dysthymic disorder	EFO:0008623	dysthymic disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
4ojSwCd9x9	Disorders of vitreous body	EFO:0008624	vitreous body disease	EFO:0008624	vitreous body disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
7oeyziMcLP	Ovarian dysfunction	EFO:0009003	ovarian dysfunction	EFO:0009003	ovarian dysfunction	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
KYCAxMSY36	Other coagulation defects	EFO:0009314	blood coagulation disease	EFO:0009314	blood coagulation disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
A9nYimZEDo	Granulomatous disorders of skin and subcutaneous tissue	EFO:0000701	skin disease	EFO:1000705	granulomatous dermatitis	More General	TRUE	FALSE	FALSE	FALSE	FALSE				
KAiXE6QXYE	Excessive vomiting in pregnancy	EFO:0002950	pregnancy	EFO:1000971	hyperemesis gravidarum	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE				
Ft3mHuip3o	Hyperfunction of pituitary gland	MONDO:0003429	functioning pituitary gland adenoma	EFO:1000973	hyperpituitarism	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE				
kQ6McP5GLx	Other nutritional deficiencies	EFO:1001067	nutritional deficiency disease	EFO:1001067	nutritional deficiency disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
HjTQqWQQ8D	Other rheumatic heart diseases	EFO:1001161	rheumatic heart disease	EFO:1001161	rheumatic heart disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
Hq9azouoj6	Other helminthiases	EFO:1001342	Helminthiasis	EFO:1001342	Helminthiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE				
BQdEKfMfNo	Unspecified viral infection of CNS	EFO:0000763	viral disease	EFO:1001456	central nervous system infection	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE				
Ai7Qhabxce	Diverticular disease of intestine	EFO:0009959	diverticular disease	EFO:1001460	diverticulitis	More General	TRUE	FALSE	FALSE	FALSE	FALSE				
