IRI	Label	Direct	Inherited
http://dbpedia.org/resource/China	China	0	0
http://dbpedia.org/resource/India	India	0	0
http://dbpedia.org/resource/Iran	Iran	0	0
http://dbpedia.org/resource/Japan	Japan	0	0
http://dbpedia.org/resource/Philippines	Philippines	0	0
http://dbpedia.org/resource/Republic_of_Ireland	Republic of Ireland	0	0
http://dbpedia.org/resource/South_Korea	South Korea	0	0
http://dbpedia.org/resource/United_Kingdom	United Kingdom	0	0
http://dbpedia.org/resource/United_States	United States	0	0
http://purl.obolibrary.org/obo/BFO_0000015	process	0	1942
http://purl.obolibrary.org/obo/BFO_0000016	disposition	0	9876
http://purl.obolibrary.org/obo/BFO_0000019	quality	0	7805
http://purl.obolibrary.org/obo/BFO_0000020	material property	0	17622
http://purl.obolibrary.org/obo/BFO_0000023	role	0	1
http://purl.obolibrary.org/obo/BFO_0000029	site	0	0
http://purl.obolibrary.org/obo/BFO_0000034	function	0	14
http://purl.obolibrary.org/obo/BFO_0000040	material entity	0	34
http://purl.obolibrary.org/obo/BTO_0000007	HEK-293 cell	0	0
http://purl.obolibrary.org/obo/BTO_0000018	A-549 cell	0	0
http://purl.obolibrary.org/obo/BTO_0000133	blood serum	0	0
http://purl.obolibrary.org/obo/BTO_0000152	infected cell	0	0
http://purl.obolibrary.org/obo/BTO_0000155	bronchoalveolar lavage	0	0
http://purl.obolibrary.org/obo/BTO_0000164	Burkitt lymphoma cell	0	0
http://purl.obolibrary.org/obo/BTO_0000214	cell culture	0	0
http://purl.obolibrary.org/obo/BTO_0000221	cell suspension culture	0	0
http://purl.obolibrary.org/obo/BTO_0000238	cerebrovascular endothelial cell	0	0
http://purl.obolibrary.org/obo/BTO_0000256	myoblast cell line	0	0
http://purl.obolibrary.org/obo/BTO_0000281	conidiophore	0	0
http://purl.obolibrary.org/obo/BTO_0000305	crypt	0	0
http://purl.obolibrary.org/obo/BTO_0000332	culture condition:dark-grown cell	0	0
http://purl.obolibrary.org/obo/BTO_0000377	elementary body	0	0
http://purl.obolibrary.org/obo/BTO_0000381	embryonic blood	0	0
http://purl.obolibrary.org/obo/BTO_0000383	renal cell carcinoma cell line	0	0
http://purl.obolibrary.org/obo/BTO_0000407	osteosarcoma cell line	0	0
