Source Term ID	Source Term	Mapped Term Label	Mapped Term IRI	Mapped Term CURIE	IS_DISEASE	IS_MEASUREMENT	IS_PHENOTYPE	IS_AMOUNT	IS_PROCESS
gydiudZPXk	Alzheimer s disease	Alzheimer's disease	EFO:0000249	EFO:0000249	FALSE	FALSE	FALSE	FALSE	FALSE
7xszpiWKQG	Endocarditis valve unspecified	endocarditis	EFO:0000465	EFO:0000465	TRUE	FALSE	FALSE	FALSE	FALSE
FTwVa6sEcd	Family history of other conditions	family history	EFO:0000493	EFO:0000493	FALSE	FALSE	FALSE	FALSE	FALSE
ZRBv8pSgif	Unspecified maternal hypertension	preeclampsia	EFO:0000668	EFO:0000668	TRUE	FALSE	FALSE	FALSE	FALSE
LSuML35oA9	Stroke not specified as haemorrhage or infarction	stroke	EFO:0000712	EFO:0000712	TRUE	FALSE	FALSE	FALSE	FALSE
c6TXyKfpeD	Subarachnoid haemorrhage	subarachnoid hemorrhage	EFO:0000713	EFO:0000713	TRUE	FALSE	FALSE	FALSE	FALSE
eNsG7WeTjw	Unspecified human immunodeficiency virus	HIV infection	EFO:0000764	EFO:0000764	TRUE	FALSE	FALSE	FALSE	FALSE
gQudZ7dpjs	Other endocrine disorders	endocrine system disease	EFO:0001379	EFO:0001379	TRUE	FALSE	FALSE	FALSE	FALSE
youNCqRhNg	Other diseases of liver	liver disease	EFO:0001421	EFO:0001421	TRUE	FALSE	FALSE	FALSE	FALSE
3j6et9xhRk	Primary disorders of muscles	muscular disease	EFO:0002970	EFO:0002970	TRUE	FALSE	FALSE	FALSE	FALSE
yNBZ4nABdj	Pervasive developmental disorders	pervasive developmental disorder - not otherwise specified	EFO:0003759	EFO:0003759	TRUE	FALSE	FALSE	FALSE	FALSE
vRLVvDEtNk	Other cerebrovascular diseases	cerebrovascular disorder	EFO:0003763	EFO:0003763	TRUE	FALSE	FALSE	FALSE	FALSE
LyLtsMjKT9	Other diseases of gallbladder	gallbladder disease	EFO:0003832	EFO:0003832	TRUE	FALSE	FALSE	FALSE	FALSE
6TBvUqhL2L	Pain	pain	EFO:0003843	EFO:0003843	FALSE	FALSE	TRUE	FALSE	FALSE
yUHqUAtpSW	Fracture of spine level unspecified	spinal fracture'	EFO:0003902	EFO:0003902	TRUE	FALSE	FALSE	FALSE	FALSE
VBVVJD3SWN	Acute hepatitis B	hepatitis B infection	EFO:0004197	EFO:0004197	TRUE	FALSE	FALSE	FALSE	FALSE
hjzB9MsjWY	Abnormalities of heart beat	cardiac arrythmia	EFO:0004269	EFO:0004269	TRUE	FALSE	FALSE	FALSE	FALSE
WnG9JhTJrD	Scoliosis	scoliosis	EFO:0004273	EFO:0004273	TRUE	FALSE	FALSE	FALSE	FALSE
cHGS3XxCA9	Other congenital malformations of heart	congenital heart malformation	EFO:0005269	EFO:0005269	TRUE	FALSE	FALSE	FALSE	FALSE
wQh2Qs7kjx	Disorders of tooth development and eruption	tooth agenesis	EFO:0005410	EFO:0005410	TRUE	FALSE	FALSE	FALSE	FALSE
GYikyfvzQR	Intracerebral haemorrhage	intracerebral hemorrhage	EFO:0005669	EFO:0005669	TRUE	FALSE	FALSE	FALSE	FALSE
qRB8QL4T4n	Retinal detachments and breaks	retinal detachment	EFO:0005773	EFO:0005773	TRUE	FALSE	FALSE	FALSE	FALSE
MxnWctDJNb	Tuberculosis of nervous system	central nervous system tuberculosis	EFO:0007199	EFO:0007199	TRUE	FALSE	FALSE	FALSE	FALSE
PGydDudQiX	Acute hepatitis A	hepatitis A	EFO:0007305	EFO:0007305	TRUE	FALSE	FALSE	FALSE	FALSE
zvFVMmeqBV	Hookworm diseases	hookworm infectious disease	EFO:0007314	EFO:0007314	TRUE	FALSE	FALSE	FALSE	FALSE
482ohbvcCA	Female infertility	female infertility	EFO:0008560	EFO:0008560	TRUE	FALSE	FALSE	FALSE	FALSE
T4CDmQBCdn	Sleep disorders	sleep disorder	EFO:0008568	EFO:0008568	TRUE	FALSE	FALSE	FALSE	FALSE
HJbdCH48Gj	Thiamine deficiency	Thiamine deficiency	EFO:0008569	EFO:0008569	FALSE	FALSE	TRUE	FALSE	FALSE
CKydXwEQVi	Viral conjunctivitis	viral conjunctivitis	EFO:0008571	EFO:0008571	TRUE	FALSE	FALSE	FALSE	FALSE
cTL9YiRqTF	Alcoholic liver disease	alcoholic liver disease	EFO:0008573	EFO:0008573	TRUE	FALSE	FALSE	FALSE	FALSE
D35MxA9iVS	Spinal osteochondrosis	Spinal Osteochondrosis	EFO:0008576	EFO:0008576	TRUE	FALSE	FALSE	FALSE	FALSE
Y5yitadvwt	Diseases of salivary glands	salivary gland disease	EFO:0008581	EFO:0008581	TRUE	FALSE	FALSE	FALSE	FALSE
p8YrWjRKT6	Gender identity disorders	gender identity disorder	EFO:0008587	EFO:0008587	TRUE	FALSE	FALSE	FALSE	FALSE
odoqnofcPT	Status asthmaticus	status asthmaticus	EFO:0008590	EFO:0008590	TRUE	FALSE	FALSE	FALSE	FALSE
cumwHseRiv	Cystic kidney disease	cystic kidney disease	EFO:0008615	EFO:0008615	TRUE	FALSE	FALSE	FALSE	FALSE
iHnHeSimrE	Polyp of female genital tract	female genital tract polyp	EFO:0008622	EFO:0008622	TRUE	FALSE	FALSE	FALSE	FALSE
FjsENfm58V	Persistent mood	dysthymic disorder	EFO:0008623	EFO:0008623	TRUE	FALSE	FALSE	FALSE	FALSE
Yz7De9vmu7	Disorders of vitreous body	vitreous body disease	EFO:0008624	EFO:0008624	TRUE	FALSE	FALSE	FALSE	FALSE
a8h9C63829	Ovarian dysfunction	ovarian dysfunction	EFO:0009003	EFO:0009003	TRUE	FALSE	FALSE	FALSE	FALSE
2rbS69NxGm	Other coagulation defects	blood coagulation disease	EFO:0009314	EFO:0009314	TRUE	FALSE	FALSE	FALSE	FALSE
wZAy4Kmr5e	Granulomatous disorders of skin and subcutaneous tissue	granulomatous dermatitis	EFO:1000705	EFO:1000705	TRUE	FALSE	FALSE	FALSE	FALSE
RjJJxvYtS6	Excessive vomiting in pregnancy	hyperemesis gravidarum	EFO:1000971	EFO:1000971	TRUE	FALSE	FALSE	FALSE	FALSE
aMPzm53Dyk	Hyperfunction of pituitary gland	hyperpituitarism	EFO:1000973	EFO:1000973	TRUE	FALSE	FALSE	FALSE	FALSE
U4HFUuxuZa	Other nutritional deficiencies	nutritional deficiency disease	EFO:1001067	EFO:1001067	TRUE	FALSE	FALSE	FALSE	FALSE
HwrUgXs6m5	Other rheumatic heart diseases	rheumatic heart disease	EFO:1001161	EFO:1001161	TRUE	FALSE	FALSE	FALSE	FALSE
2Kecmcs7KB	Other helminthiases	Helminthiasis	EFO:1001342	EFO:1001342	TRUE	FALSE	FALSE	FALSE	FALSE
K6hMas5xAE	Unspecified viral infection of CNS	central nervous system infection	EFO:1001456	EFO:1001456	TRUE	FALSE	FALSE	FALSE	FALSE
JgivKcEfGw	Diverticular disease of intestine	diverticulitis	EFO:1001460	EFO:1001460	TRUE	FALSE	FALSE	FALSE	FALSE
MME9MCUdyA	Premature separation of placenta	Abruptio Placentae	EFO:1001754	EFO:1001754	TRUE	FALSE	FALSE	FALSE	FALSE
fsNmt4zc2K	Retention of urine	Urinary retention	HP:0000016	HP:0000016	FALSE	FALSE	TRUE	FALSE	FALSE
iEfCTuH4Sg	Unspecified urinary incontinence	Urinary incontinence	HP:0000020	HP:0000020	FALSE	FALSE	TRUE	FALSE	FALSE
s4WqMGoLsb	Isolated proteinuria	proteinuria	HP:0000093	HP:0000093	FALSE	FALSE	TRUE	FALSE	FALSE
QhsEQZzDYW	Cleft palate	cleft palate	HP:0000175	HP:0000175	FALSE	FALSE	TRUE	FALSE	FALSE
Lj4ykzpLBh	Hydrocephalus	hydrocephalus	HP:0000238	HP:0000238	FALSE	FALSE	TRUE	FALSE	FALSE
UP3z2KR2Ty	Visual disturbances	Visual impairment	HP:0000505	HP:0000505	FALSE	FALSE	TRUE	FALSE	FALSE
RDWtYzpD7a	Unspecified dementia	dementia	HP:0000726	HP:0000726	FALSE	FALSE	FALSE	FALSE	FALSE
pJSUqngb6P	Unspecified haematuria	hematuria	HP:0000790	HP:0000790	FALSE	FALSE	TRUE	FALSE	FALSE
PvnmzU8FUV	Cholecystitis	Cholecystitis	HP:0001082	HP:0001082	FALSE	FALSE	TRUE	FALSE	FALSE
uTGZBwy3wm	Dystonia	Dystonia	HP:0001332	HP:0001332	FALSE	FALSE	TRUE	FALSE	FALSE
G7agJX39GF	Ascites	Ascites	HP:0001541	HP:0001541	FALSE	FALSE	TRUE	FALSE	FALSE
bXojFejvYE	Iron deficiency anaemia	Iron deficiency anemia	HP:0001891	HP:0001891	FALSE	FALSE	TRUE	FALSE	FALSE
ezybavupTo	Acute renal failure	acute kidney injury	HP:0001919	HP:0001919	FALSE	FALSE	TRUE	FALSE	FALSE
FrBnmas85g	Nonspecific lymphadenitis	lymphadenitis	HP:0002840	HP:0002840	FALSE	FALSE	TRUE	FALSE	FALSE
94kNGHaNPS	Cachexia	cachexia	HP:0004326	HP:0004326	FALSE	FALSE	TRUE	FALSE	FALSE
VGKPydV4US	Disseminated intravascular coagulation	Disseminated intravascular coagulation	HP:0005521	HP:0005521	FALSE	FALSE	TRUE	FALSE	FALSE
ek9JJctb5i	Senile cataract	age-related cataract	HP:0011141	HP:0011141	FALSE	FALSE	TRUE	FALSE	FALSE
DxrUnHZtS6	Agranulocytosis	Agranulocytosis	HP:0012234	HP:0012234	FALSE	FALSE	TRUE	FALSE	FALSE
AEN5ed4287	Helicobacter pylori	Helicobacter pylori	NCBITaxon:210	NCBITaxon:210	FALSE	FALSE	FALSE	FALSE	FALSE
GuXAYdi2zJ	Reduction defects of lower limb	Hemimelia	ORDO:2130	ORDO:2130	FALSE	FALSE	FALSE	FALSE	FALSE
