Source Term ID	Source Term	t2t.Mapping	t2t.MappingLabel	Benchmark.Mapping	Benchmark.MappingLabel	Classification	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess
DOID:0080630	B-lymphoblastic leukemia/lymphoma	EFO:0000094	B-cell acute lymphoblastic leukemia	EFO:0000094	B-cell acute lymphoblastic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:7061	obsolete precursor B lymphoblastic lymphoma/leukemia	EFO:0000220	acute lymphoblastic leukemia	EFO:0000094	B-cell acute lymphoblastic leukemia	More General	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000094	B-cell acute lymphoblastic leukemia	EFO:0000220	acute lymphoblastic leukemia	EFO:0000094	B-cell acute lymphoblastic leukemia	More General	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C8936	B Lymphoblastic Leukemia/Lymphoma	EFO:0000094	B-cell acute lymphoblastic leukemia	EFO:0000094	B-cell acute lymphoblastic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1040	chronic lymphocytic leukemia	EFO:0000095	chronic lymphocytic leukemia	EFO:0000095	chronic lymphocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004948	B-cell chronic lymphocytic leukemia	EFO:0000095	chronic lymphocytic leukemia	EFO:0000095	chronic lymphocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3163	Chronic Lymphocytic Leukemia	EFO:0000095	chronic lymphocytic leukemia	EFO:0000095	chronic lymphocytic leukemia	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:706	mature B-cell neoplasm	EFO:0002426	neoplasm of mature T-cells or NK-cells	EFO:0000096	neoplasm of mature B-cells	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000096	neoplasm of mature B-cells	EFO:0000096	neoplasm of mature B-cells	EFO:0000096	neoplasm of mature B-cells	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C27910	Mature B-Cell Neoplasm	EFO:0002426	neoplasm of mature T-cells or NK-cells	EFO:0000096	neoplasm of mature B-cells	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3457	B-Cell Non-Hodgkin Lymphoma	EFO:0000183	Hodgkins lymphoma	EFO:0000096	neoplasm of mature B-cells	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE
CL:0000236	B cell	EFO:0000095	chronic lymphocytic leukemia	EFO:0000097	obsolete_B-lymphocyte	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000614	hypothalamus	EFO:1000979	hypothalamic neoplasm	EFO:0000107	obsolete_hypothalamus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FMA:62008	Hypothalamus	EFO:1000979	hypothalamic neoplasm	EFO:0000107	obsolete_hypothalamus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
MA:0000173	hypothalamus	EFO:1000979	hypothalamic neoplasm	EFO:0000107	obsolete_hypothalamus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001362	olfactory lobe	HP:0001341	Olfactory lobe agenesis	EFO:0000108	obsolete_olfactory lobe	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FMA:77624	Olfactory bulb	EFO:0001048	bulb	EFO:0000108	obsolete_olfactory lobe	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
ZFA:0000402	olfactory bulb	EFO:0001048	bulb	EFO:0000108	obsolete_olfactory lobe	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001279	spinal cord	EFO:0003828	spinal cord neoplasm	EFO:0000110	obsolete_spinal cord	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FMA:7647	Spinal cord	EFO:0003828	spinal cord neoplasm	EFO:0000110	obsolete_spinal cord	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
MA:0000216	spinal cord	EFO:0003828	spinal cord neoplasm	EFO:0000110	obsolete_spinal cord	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:3369	Ewing sarcoma	EFO:0000174	Ewing sarcoma	EFO:0000173	obsolete_Ewing family tumor	Same	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:0050608	Askin's tumor	EFO:1000095	Askin Tumor	EFO:0000174	Ewing sarcoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4817	Ewing Sarcoma	EFO:0000174	Ewing sarcoma	EFO:0000174	Ewing sarcoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C7542	Askin Tumor	EFO:1000095	Askin Tumor	EFO:0000174	Ewing sarcoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C9341	Peripheral Primitive Neuroectodermal Tumor	MONDO:0018271	peripheral primitive neuroectodermal tumor	EFO:0000174	Ewing sarcoma	Sibling	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:10538	gastric fundus cancer	EFO:0000178	gastric carcinoma	EFO:0000178	gastric carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5517	stomach carcinoma	EFO:0000178	gastric carcinoma	EFO:0000178	gastric carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000178	gastric carcinoma	EFO:0000178	gastric carcinoma	EFO:0000178	gastric carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4911	Gastric Carcinoma	EFO:0000178	gastric carcinoma	EFO:0000178	gastric carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:5520	head and neck squamous cell carcinoma	EFO:0000181	head and neck squamous cell carcinoma	EFO:0000181	head and neck squamous cell carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
