# Timestamp: 2024-04-09 17:40:44.690435
# Target Ontology: http://www.ebi.ac.uk/efo/releases/v3.62.0/efo.owl
# text2term version: 4.1.2
# Minimum Score: 0.00
# Mapper: tfidf
# Base IRIs: ('http://www.ebi.ac.uk/efo/', 'http://purl.obolibrary.org/obo/MONDO', 'http://purl.obolibrary.org/obo/HP', 'http://www.orpha.net/ORDO', 'http://purl.obolibrary.org/obo/DOID')
# Max Mappings: 1
# Term Type: OntologyTermType.CLASS
# Deprecated Terms Excluded
# Unmapped Terms Excluded
# Of 796 entries, 795 were mapped to 706 unique terms
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score,Tags
143B_BONE,143B,143B,EFO:0006355,http://www.ebi.ac.uk/efo/EFO_0006355,0.992,None
22RV1_PROSTATE,22Rv1,22Rv1,EFO:0002095,http://www.ebi.ac.uk/efo/EFO_0002095,0.998,None
2313287_STOMACH,23132/87,23132/87,EFO:0006528,http://www.ebi.ac.uk/efo/EFO_0006528,0.618,None
5637_URINARY_TRACT,5637,5637,EFO:0002096,http://www.ebi.ac.uk/efo/EFO_0002096,0.995,None
59M_OVARY,59M,59M,EFO:0006358,http://www.ebi.ac.uk/efo/EFO_0006358,0.998,None
639V_URINARY_TRACT,639-V,639V,EFO:0002097,http://www.ebi.ac.uk/efo/EFO_0002097,0.485,None
647V_URINARY_TRACT,647-V,Alexa Fluor 647,EFO:0004967,http://www.ebi.ac.uk/efo/EFO_0004967,0.523,None
769P_KIDNEY,769-P,769P,EFO:0002099,http://www.ebi.ac.uk/efo/EFO_0002099,0.511,None
A101D_SKIN,A101D,A101D,EFO:0002100,http://www.ebi.ac.uk/efo/EFO_0002100,0.996,None
A172_CENTRAL_NERVOUS_SYSTEM,A172,A172,EFO:0002101,http://www.ebi.ac.uk/efo/EFO_0002101,0.998,None
A204_SOFT_TISSUE,A-204,A204,EFO:0002102,http://www.ebi.ac.uk/efo/EFO_0002102,0.519,None
A2058_SKIN,A2058,A2058,EFO:0006361,http://www.ebi.ac.uk/efo/EFO_0006361,0.999,None
A2780_OVARY,A2780,A2780,EFO:0006362,http://www.ebi.ac.uk/efo/EFO_0006362,0.999,None
A375_SKIN,A-375,A375,EFO:0002103,http://www.ebi.ac.uk/efo/EFO_0002103,0.491,None
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A3/KAW,A3/KAW,EFO:0006532,http://www.ebi.ac.uk/efo/EFO_0006532,0.498,None
A498_KIDNEY,A-498,A498,EFO:0002105,http://www.ebi.ac.uk/efo/EFO_0002105,0.5,None
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A4/Fuk,A4/Fuk,EFO:0006533,http://www.ebi.ac.uk/efo/EFO_0006533,0.53,None
A549_LUNG,A549,A549,EFO:0001086,http://www.ebi.ac.uk/efo/EFO_0001086,0.998,None
A673_BONE,A-673,A673,EFO:0002106,http://www.ebi.ac.uk/efo/EFO_0002106,0.514,None
ABC1_LUNG,ABC-1,aneurysmal bone cyst,EFO:1001760,http://www.ebi.ac.uk/efo/EFO_1001760,0.925,None
ACHN_KIDNEY,ACHN,ACHN,EFO:0002108,http://www.ebi.ac.uk/efo/EFO_0002108,0.987,None
AGS_STOMACH,AGS,AGS,EFO:0002109,http://www.ebi.ac.uk/efo/EFO_0002109,0.985,None
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AMO-1,"encephalopathy, progressive, with amyotrophy and optic atrophy",MONDO:0014968,http://purl.obolibrary.org/obo/MONDO_0014968,0.526,None
ASPC1_PANCREAS,AsPC-1,AsPC1,EFO:0002112,http://www.ebi.ac.uk/efo/EFO_0002112,0.603,None
AU565_BREAST,AU565,AU565,EFO:0001087,http://www.ebi.ac.uk/efo/EFO_0001087,0.974,None
AZ521_SMALL_INTESTINE,AZ-521,AZ-521,EFO:0002814,http://www.ebi.ac.uk/efo/EFO_0002814,0.531,None
BEN_LUNG,BEN,BEN,EFO:0006537,http://www.ebi.ac.uk/efo/EFO_0006537,0.995,None
